date,day,loto7_1,loto7_2,loto7_3,loto7_4,loto7_5,loto7_6,loto7_7,bonus1,bonus2
2013-04-05,Friday,1,5,6,20,21,30,32,29,37
2013-04-12,Friday,3,8,12,20,21,32,33,2,36
2013-04-19,Friday,4,9,12,15,18,32,35,30,1
2013-04-26,Friday,5,9,10,15,16,26,37,33,6
2013-05-03,Friday,3,9,12,14,20,26,29,34,27
2013-05-10,Friday,3,10,12,17,18,32,34,30,21
2013-05-17,Friday,2,4,8,16,17,35,36,13,29
2013-05-24,Friday,9,10,11,14,18,27,36,5,30
2013-05-31,Friday,1,5,7,19,21,32,36,14,35
2013-06-07,Friday,3,10,11,21,23,30,36,2,37
2013-06-14,Friday,1,5,9,13,14,29,37,22,12
2013-06-21,Friday,8,10,11,17,22,35,36,16,27
2013-06-28,Friday,2,9,11,20,21,31,36,1,13
2013-07-05,Friday,7,8,12,18,23,32,33,20,26
2013-07-12,Friday,1,6,7,22,25,30,36,10,16
2013-07-19,Friday,4,8,11,16,20,31,34,12,25
2013-07-26,Friday,2,10,11,20,22,34,35,29,32
2013-08-02,Friday,3,6,11,14,19,26,34,25,28
2013-08-09,Friday,2,7,12,18,20,34,35,27,14
2013-08-16,Friday,1,7,8,16,23,26,28,2,12
2013-08-23,Friday,4,7,9,18,25,28,33,23,36
2013-08-30,Friday,3,8,10,16,18,35,37,23,21
2013-09-06,Friday,2,4,8,14,24,29,32,5,25
2013-09-13,Friday,2,5,6,17,20,26,36,9,33
2013-09-20,Friday,5,8,9,13,20,29,32,7,3
2013-09-27,Friday,6,8,12,20,24,27,35,21,7
2013-10-04,Friday,2,3,9,14,20,27,36,10,24
2013-10-11,Friday,2,3,8,15,17,28,37,20,33
2013-10-18,Friday,1,5,7,18,20,31,36,11,32
2013-10-25,Friday,5,7,12,17,20,27,33,3,13
2013-11-01,Friday,2,3,4,14,21,29,34,22,18
2013-11-08,Friday,1,3,10,15,25,35,36,2,4
2013-11-15,Friday,4,7,10,17,21,35,36,15,8
2013-11-22,Friday,1,2,9,13,19,28,33,12,37
2013-11-29,Friday,5,8,12,13,22,32,37,6,19
2013-12-06,Friday,1,6,12,15,23,31,37,14,2
2013-12-13,Friday,3,4,11,17,22,31,37,10,29
