date,day,number
1994-10-07,Friday,30
1994-10-10,Monday,261
1994-10-11,Tuesday,452
1994-10-12,Wednesday,209
1994-10-13,Thursday,867
1994-10-14,Friday,139
1994-10-17,Monday,163
1994-10-18,Tuesday,706
1994-10-19,Wednesday,380
1994-10-20,Thursday,966
1994-10-21,Friday,297
1994-10-24,Monday,610
1994-10-25,Tuesday,417
1994-10-26,Wednesday,719
1994-10-27,Thursday,874
1994-10-28,Friday,707
1994-10-31,Monday,220
1994-11-01,Tuesday,738
1994-11-02,Wednesday,736
1994-11-03,Thursday,715
1994-11-04,Friday,614
1994-11-07,Monday,364
1994-11-08,Tuesday,547
1994-11-09,Wednesday,811
1994-11-10,Thursday,886
1994-11-11,Friday,490
1994-11-14,Monday,844
1994-11-15,Tuesday,813
1994-11-16,Wednesday,526
1994-11-17,Thursday,51
1994-11-18,Friday,713
1994-11-21,Monday,607
1994-11-22,Tuesday,718
1994-11-23,Wednesday,684
1994-11-24,Thursday,829
1994-11-25,Friday,881
1994-11-28,Monday,54
1994-11-29,Tuesday,909
1994-11-30,Wednesday,375
1994-12-01,Thursday,777
1994-12-02,Friday,341
1994-12-05,Monday,654
1994-12-06,Tuesday,340
1994-12-07,Wednesday,415
1994-12-08,Thursday,778
1994-12-09,Friday,260
1994-12-12,Monday,458
1994-12-13,Tuesday,115
1994-12-14,Wednesday,33
1994-12-15,Thursday,781
1994-12-16,Friday,55
1994-12-19,Monday,501
1994-12-20,Tuesday,945
1994-12-21,Wednesday,425
1994-12-22,Thursday,328
1994-12-23,Friday,119
1994-12-26,Monday,536
1994-12-27,Tuesday,696
1994-12-28,Wednesday,133
1994-12-29,Thursday,747
1994-12-30,Friday,909
1995-01-02,Monday,571
1995-01-03,Tuesday,53
1995-01-04,Wednesday,12
1995-01-05,Thursday,316
1995-01-06,Friday,959
1995-01-09,Monday,443
1995-01-10,Tuesday,155
1995-01-11,Wednesday,693
1995-01-12,Thursday,269
1995-01-13,Friday,320
1995-01-16,Monday,123
1995-01-17,Tuesday,989
1995-01-18,Wednesday,688
1995-01-19,Thursday,425
1995-01-20,Friday,380
1995-01-23,Monday,681
1995-01-24,Tuesday,711
1995-01-25,Wednesday,121
1995-01-26,Thursday,376
1995-01-27,Friday,376
1995-01-30,Monday,417
1995-01-31,Tuesday,284
1995-02-01,Wednesday,522
1995-02-02,Thursday,488
1995-02-03,Friday,641
1995-02-06,Monday,883
1995-02-07,Tuesday,153
1995-02-08,Wednesday,781
1995-02-09,Thursday,702
1995-02-10,Friday,455
1995-02-13,Monday,548
1995-02-14,Tuesday,224
1995-02-15,Wednesday,560
1995-02-16,Thursday,223
1995-02-17,Friday,96
1995-02-20,Monday,777
1995-02-21,Tuesday,168
1995-02-22,Wednesday,714
1995-02-23,Thursday,527
1995-02-24,Friday,736
1995-02-27,Monday,496
1995-02-28,Tuesday,748
1995-03-01,Wednesday,751
1995-03-02,Thursday,673
1995-03-03,Friday,101
1995-03-06,Monday,81
1995-03-07,Tuesday,294
1995-03-08,Wednesday,220
1995-03-09,Thursday,604
1995-03-10,Friday,213
1995-03-13,Monday,74
1995-03-14,Tuesday,835
1995-03-15,Wednesday,559
1995-03-16,Thursday,364
1995-03-17,Friday,580
1995-03-20,Monday,393
1995-03-21,Tuesday,120
1995-03-22,Wednesday,879
1995-03-23,Thursday,62
1995-03-24,Friday,118
1995-03-27,Monday,562
1995-03-28,Tuesday,331
1995-03-29,Wednesday,253
1995-03-30,Thursday,149
1995-03-31,Friday,243
1995-04-03,Monday,949
1995-04-04,Tuesday,685
1995-04-05,Wednesday,447
1995-04-06,Thursday,329
1995-04-07,Friday,559
1995-04-10,Monday,571
1995-04-11,Tuesday,353
1995-04-12,Wednesday,538
1995-04-13,Thursday,687
1995-04-14,Friday,171
1995-04-17,Monday,177
1995-04-18,Tuesday,445
1995-04-19,Wednesday,972
1995-04-20,Thursday,169
1995-04-21,Friday,554
1995-04-24,Monday,208
1995-04-25,Tuesday,211
1995-04-26,Wednesday,227
1995-04-27,Thursday,206
1995-04-28,Friday,675
1995-05-01,Monday,710
1995-05-02,Tuesday,274
1995-05-03,Wednesday,422
1995-05-04,Thursday,111
1995-05-05,Friday,688
1995-05-08,Monday,52
1995-05-09,Tuesday,128
1995-05-10,Wednesday,497
1995-05-11,Thursday,805
1995-05-12,Friday,995
1995-05-15,Monday,490
1995-05-16,Tuesday,477
1995-05-17,Wednesday,779
1995-05-18,Thursday,678
1995-05-19,Friday,843
1995-05-22,Monday,702
1995-05-23,Tuesday,779
1995-05-24,Wednesday,976
1995-05-25,Thursday,747
1995-05-26,Friday,886
1995-05-29,Monday,170
1995-05-30,Tuesday,603
1995-05-31,Wednesday,434
1995-06-01,Thursday,352
1995-06-02,Friday,863
1995-06-05,Monday,902
1995-06-06,Tuesday,809
1995-06-07,Wednesday,544
1995-06-08,Thursday,66
1995-06-09,Friday,119
1995-06-12,Monday,186
1995-06-13,Tuesday,657
1995-06-14,Wednesday,644
1995-06-15,Thursday,712
1995-06-16,Friday,282
1995-06-19,Monday,300
1995-06-20,Tuesday,316
1995-06-21,Wednesday,947
1995-06-22,Thursday,149
1995-06-23,Friday,36
1995-06-26,Monday,201
1995-06-27,Tuesday,847
1995-06-28,Wednesday,485
1995-06-29,Thursday,437
1995-06-30,Friday,877
1995-07-03,Monday,444
1995-07-04,Tuesday,388
1995-07-05,Wednesday,942
